instruction_id,instruction_number,rq_year,rq_semester,dept,area,year,subject,professor,url,credit,time,class_time,required,number_of_people,note,foreigner,mooc,team_teaching,online
123,V41002101,20,1,AI융합전공,이중(부)전공,2.0,컴퓨터수학,이민나,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=V41002101,3,3,월 1 2 3,0,40,,0,0,0,0
124,J11004101,20,1,CORE글로벌지역학,인문학공통,1.0,러시아.투르크.몽골의민족과종교,이난아,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11004101,2,2,월 7 8,0,50,,0,0,1,0
125,J11003101,20,1,CORE글로벌지역학,인문학공통,1.0,러시아.투르크.몽골의인문지리와사회,최우익,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11003101,2,2,목 7 8,0,50,,0,0,1,0
126,J11002101,20,1,CORE글로벌지역학,인문학공통,1.0,서양문학과대중문화,임형진,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11002101,2,2,수 7 8,0,50,,0,0,0,0
127,J11001101,20,1,CORE글로벌지역학,인문학공통,1.0,유럽근현대사,윤용선,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11001101,2,2,수 5 6,0,50,,0,0,0,0
128,J11010101,20,1,CORE글로벌지역학,인문학공통,1.0,이슬람사상의이해(1),정진한,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11010101,3,3,목 1 2 3,0,20,,0,0,0,0
129,J11006101,20,1,CORE글로벌지역학,인문학공통,1.0,인도.동남아시아언어와사회,고태진,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11006101,2,2,월 5 6,0,50,,0,0,1,0
130,J11007101,20,1,CORE글로벌지역학,인문학공통,1.0,인도.동남아시아역사와지리,신민하,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11007101,2,2,월 3 4,0,50,,0,0,1,0
131,J11005101,20,1,CORE글로벌지역학,인문학공통,1.0,중남미역사와사상(1),오인혜,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11005101,3,3,화 4 5 6,0,60,,0,0,1,0
132,J11005102,20,1,CORE글로벌지역학,인문학공통,1.0,중남미역사와사상(1),양은미,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11005102,3,3,목 4 5 6,0,60,,0,0,1,0
133,J11005103,20,1,CORE글로벌지역학,인문학공통,1.0,중남미역사와사상(1),조구호,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11005103,3,3,목 7 8 9,0,60,,0,0,1,0
134,J11009101,20,1,CORE글로벌지역학,인문학공통,1.0,중동의사회와문화(1),이수정,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=J11009101,3,3,목 4 5 6,0,20,,0,0,0,0
135,A01699101,20,1,EICC학과,전공,1.0,Discussion & Debate,Chris Larsen,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01699101,2,2,월 7 8,0,21,"영어주제토론입문(1), Speaking in Context(1)과 동일과목",1,0,0,0
136,A01699102,20,1,EICC학과,전공,1.0,Discussion & Debate,Michael Chesnut,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01699102,2,2,금 1 2,0,20,"영어주제토론입문(1), Speaking in Context(1)과 동일과목",1,0,0,0
137,A01705201,20,1,EICC학과,전공,1.0,English for International Conferences,김인성,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01705201,2,2,목 1 2,0,30,,1,0,0,0
138,A01705202,20,1,EICC학과,전공,1.0,English for International Conferences,김인성,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01705202,2,2,목 3 4,0,30,,1,0,0,0
139,A01697101,20,1,EICC학과,전공,1.0,Foundations of Interpreting and Translation,조수연,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01697101,2,2,수 7 8,0,20,"텍스트분석및번역입문(1), 통번역학개론(1)과 동일과목, 영어통번역학과생만 전필, 영어대교류",1,0,0,0
140,A01697102,20,1,EICC학과,전공,1.0,Foundations of Interpreting and Translation,조재범,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01697102,2,2,화 9 10,0,21,"텍스트분석및번역입문(1), 통번역학개론(1)과 동일과목, 영어통번역학과생만 전필, 영어대교류",0,0,0,0
141,A01697103,20,1,EICC학과,전공,1.0,Foundations of Interpreting and Translation,최희경,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01697103,2,2,수 3 4,0,20,"텍스트분석및번역입문(1), 통번역학개론(1)과 동일과목, 영어통번역학과생만 전필, 영어대교류",0,0,0,0
142,A01697104,20,1,EICC학과,전공,1.0,Foundations of Interpreting and Translation,최희경,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01697104,2,2,수 5 6,0,20,"텍스트분석및번역입문(1), 통번역학개론(1)과 동일과목, 영어통번역학과생만 전필, 영어대교류",0,0,0,0
143,A01698101,20,1,EICC학과,전공,1.0,Presenting in English,Joseph R. Vincent,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01698101,2,2,화 1 2,0,20,"영어프레젠테이션입문(1), Rhetoric&Debate(1)과 동일과목",1,0,0,0
144,A01698102,20,1,EICC학과,전공,1.0,Presenting in English,Joseph R. Vincent,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01698102,2,2,화 3 4,0,20,"영어프레젠테이션입문(1), Rhetoric&Debate(1)과 동일과목",1,0,0,0
145,A01700101,20,1,EICC학과,전공,1.0,Prose & Paragraphs,Jon H. Bahk-Halberg,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01700101,2,2,목 5 6,0,20,"영어글쓰기입문(1), Culture&Writing(1)과 동일과목",1,0,0,0
146,A01700102,20,1,EICC학과,전공,1.0,Prose & Paragraphs,Michael Chesnut,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01700102,2,2,금 7 8,0,20,"영어글쓰기입문(1), Culture&Writing(1)과 동일과목",1,0,0,0
147,A01707101,20,1,EICC학과,전공,2.0,English for Negotiations,Michael Chesnut,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01707101,2,2,목 5 6,0,21,,1,0,0,0
148,A01707102,20,1,EICC학과,전공,2.0,English for Negotiations,Michael Chesnut,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01707102,2,2,목 7 8,0,20,,1,0,0,0
